Times,Cox Proportonal Hazard,,,,SimpleRNN,,,,LSTM,,,,Bi-Directional LSTM,,,
,C-Index,MAE,MSE,R2,C-Index, MAE,MSE,R2, C-Index,MAE, MSE,R2,C-Index,MAE, MSE,R2
1,0.800,289.457,88777.326,-7.045,0.997,1.814,8.059,0.999,0.998,1.279,46.737,0.996,0.997,1.522,9.846,0.999
2,0.799,288.159,87896.005,-6.941,0.996,1.948,144.924,0.988,0.999,2.651,157.172,0.987,0.997,2.031,137.024,0.989
3,0.802,287.942,87509.406,-6.886,0.994,3.139,27.861,0.998,0.998,1.181,83.351,0.993,0.997,2.216,88.481,0.992
4,0.798,285.677,86651.641,-6.697,0.995,2.048,82.255,0.993,0.999,1.569,133.341,0.989,0.997,1.542,8.325,0.999
5,0.795,287.705,87969.634,-6.631,0.996,1.263,5.239,1.000,0.998,1.646,133.572,0.988,0.998,1.879,16.632,0.999
6,0.797,289.289,88531.958,-7.385,0.996,2.113,71.330,0.994,0.998,2.074,236.724,0.979,0.996,2.199,47.526,0.996
7,0.801,286.822,87171.065,-6.889,0.996,2.492,35.150,0.997,0.998,1.979,25.226,0.998,0.995,1.632,25.610,0.998
8,0.799,287.969,87634.780,-7.185,0.996,1.869,93.360,0.992,0.998,1.311,161.953,0.987,0.997,1.977,156.461,0.987
9,0.801,287.181,87504.967,-6.446,0.997,2.135,155.533,0.986,0.998,1.330,153.395,0.986,0.996,1.694,45.808,0.996
10,0.802,285.265,86541.563,-6.352,0.995,2.261,148.988,0.987,0.999,1.154,94.019,0.992,0.995,2.360,141.215,0.988
Average,0.799,287.547,87618.835,-6.845,0.996,2.108,77.270,0.993,0.998,1.617,122.549,0.989,0.997,1.905,67.693,0.994
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
